"Pathway","Bacterium","Value","Map","Pathway_Class"
"Metabolism of xenobiotics by cytochrome P450","Bacillus amyloliquefaciens WF02",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Bacillus amyloliquefaciens WF02",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Acarbose and validamycin biosynthesis","Bacillus amyloliquefaciens WF02",0.21,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Bacillus amyloliquefaciens WF02",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Bacillus amyloliquefaciens WF02",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Bacillus amyloliquefaciens WF02",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Bacillus amyloliquefaciens WF02",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Bacillus cereus B4264",195.43,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Bacillus cereus B4264",94.6,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Bacillus cereus B4264",47.91,"map01120","Microbial metabolism in diverse environments"
"Cysteine and methionine metabolism","Bacillus cereus B4264",17.77,"map00270","Metabolism; Amino acid metabolism"
"Pyruvate metabolism","Bacillus cereus B4264",12.93,"map00620","Metabolism; Carbohydrate metabolism"
"Folate biosynthesis","Bacillus cereus B4264",11.82,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Glycolysis / Gluconeogenesis","Bacillus cereus B4264",11.71,"map00010","Metabolism; Carbohydrate metabolism"
"Butanoate metabolism","Bacillus cereus B4264",11.44,"map00650","Metabolism; Carbohydrate metabolism"
"Glyoxylate and dicarboxylate metabolism","Bacillus cereus B4264",10.98,"map00630","Metabolism; Carbohydrate metabolism"
"Arginine and proline metabolism","Bacillus cereus B4264",10.34,"map00330","Metabolism; Amino acid metabolism"
"Alanine; aspartate and glutamate metabolism","Bacillus cereus B4264",9.99,"map00250","Metabolism; Amino acid metabolism"
"Purine metabolism","Bacillus cereus B4264",9.9,"map00230","Metabolism; Nucleotide metabolism"
"Arginine biosynthesis","Bacillus cereus B4264",9.6,"map00220","Metabolism; Amino acid metabolism"
"Citrate cycle (TCA cycle)","Bacillus cereus B4264",9.45,"map00020","Metabolism; Carbohydrate metabolism"
"Tryptophan metabolism","Bacillus cereus B4264",9.3,"map00380","Metabolism; Amino acid metabolism"
"Starch and sucrose metabolism","Bacillus cereus B4264",9.18,"map00500","Metabolism; Carbohydrate metabolism"
"Glycine; serine and threonine metabolism","Bacillus cereus B4264",9,"map00260","Metabolism; Amino acid metabolism"
"Carbon fixation pathways in prokaryotes","Bacillus cereus B4264",8.63,"map00720","Metabolism; Energy metabolism"
"Propanoate metabolism","Bacillus cereus B4264",8.1,"map00640","Metabolism; Carbohydrate metabolism"
"Porphyrin and chlorophyll metabolism","Bacillus cereus B4264",8.02,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Bacillus cereus B4264",7.72,"map00400","Metabolism; Amino acid metabolism"
"Histidine metabolism","Bacillus cereus B4264",7.1,"map00340","Metabolism; Amino acid metabolism"
"Thiamine metabolism","Bacillus cereus B4264",6.99,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Pantothenate and CoA biosynthesis","Bacillus cereus B4264",6.96,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Amino sugar and nucleotide sugar metabolism","Bacillus cereus B4264",6.77,"map00520","Metabolism; Carbohydrate metabolism"
"Methane metabolism","Bacillus cereus B4264",6.64,"map00680","Metabolism; Energy metabolism"
"Lysine degradation","Bacillus cereus B4264",6.42,"map00310","Metabolism; Amino acid metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Bacillus cereus B4264",6.14,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Valine; leucine and isoleucine degradation","Bacillus cereus B4264",6.03,"map00280","Metabolism; Amino acid metabolism"
"One carbon pool by folate","Bacillus cereus B4264",5.94,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Terpenoid backbone biosynthesis","Bacillus cereus B4264",5.65,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Biotin metabolism","Bacillus cereus B4264",5.57,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"Riboflavin metabolism","Bacillus cereus B4264",5.22,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Phenylalanine metabolism","Bacillus cereus B4264",4.95,"map00360","Metabolism; Amino acid metabolism"
"D-Amino acid metabolism","Bacillus cereus B4264",4.92,"map00470","Metabolism; Metabolism of other amino acids"
"Pentose phosphate pathway","Bacillus cereus B4264",4.89,"map00030","Metabolism; Carbohydrate metabolism"
"Fatty acid biosynthesis","Bacillus cereus B4264",4.84,"map00061","Metabolism; Lipid metabolism"
"Fatty acid degradation","Bacillus cereus B4264",4.79,"map00071","Metabolism; Lipid metabolism"
"Nitrogen metabolism","Bacillus cereus B4264",4.66,"map00910","Metabolism; Energy metabolism"
"Carbon fixation in photosynthetic organisms","Bacillus cereus B4264",4.58,"map00710","Metabolism; Energy metabolism"
"Pyrimidine metabolism","Bacillus cereus B4264",4.56,"map00240","Metabolism; Nucleotide metabolism"
"Nicotinate and nicotinamide metabolism","Bacillus cereus B4264",4.18,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"beta-Alanine metabolism","Bacillus cereus B4264",4.11,"map00410","Metabolism; Metabolism of other amino acids"
"Valine; leucine and isoleucine biosynthesis","Bacillus cereus B4264",4.04,"map00290","Metabolism; Amino acid metabolism"
"Peptidoglycan biosynthesis","Bacillus cereus B4264",3.95,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"O-Antigen nucleotide sugar biosynthesis","Bacillus cereus B4264",3.89,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Sulfur metabolism","Bacillus cereus B4264",3.89,"map00920","Metabolism; Energy metabolism"
"Glycerophospholipid metabolism","Bacillus cereus B4264",3.8,"map00564","Metabolism; Lipid metabolism"
"Lysine biosynthesis","Bacillus cereus B4264",3.45,"map00300","Metabolism; Amino acid metabolism"
"Cyanoamino acid metabolism","Bacillus cereus B4264",3.37,"map00460","Metabolism; Metabolism of other amino acids"
"Benzoate degradation","Bacillus cereus B4264",3.3,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - other enzymes","Bacillus cereus B4264",3.01,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Glutathione metabolism","Bacillus cereus B4264",2.91,"map00480","Metabolism; Metabolism of other amino acids"
"Selenocompound metabolism","Bacillus cereus B4264",2.81,"map00450","Metabolism; Metabolism of other amino acids"
"Aminobenzoate degradation","Bacillus cereus B4264",2.79,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Galactose metabolism","Bacillus cereus B4264",2.75,"map00052","Metabolism; Carbohydrate metabolism"
"Fructose and mannose metabolism","Bacillus cereus B4264",2.55,"map00051","Metabolism; Carbohydrate metabolism"
"Tyrosine metabolism","Bacillus cereus B4264",2.35,"map00350","Metabolism; Amino acid metabolism"
"Oxidative phosphorylation","Bacillus cereus B4264",2.2,"map00190","Metabolism; Energy metabolism"
"Glycerolipid metabolism","Bacillus cereus B4264",2.13,"map00561","Metabolism; Lipid metabolism"
"Arachidonic acid metabolism","Bacillus cereus B4264",1.97,"map00590","Metabolism; Lipid metabolism"
"Phosphonate and phosphinate metabolism","Bacillus cereus B4264",1.85,"map00440","Metabolism; Metabolism of other amino acids"
"Novobiocin biosynthesis","Bacillus cereus B4264",1.82,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Limonene and pinene degradation","Bacillus cereus B4264",1.77,"map00903","Metabolism; Metabolism of terpenoids and polyketides"
"Biosynthesis of siderophore group nonribosomal peptides","Bacillus cereus B4264",1.77,"map01053","Metabolism; Metabolism of terpenoids and polyketides"
"Taurine and hypotaurine metabolism","Bacillus cereus B4264",1.76,"map00430","Metabolism; Metabolism of other amino acids"
"Geraniol degradation","Bacillus cereus B4264",1.75,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Aminoacyl-tRNA biosynthesis","Bacillus cereus B4264",1.69,"map00970","Genetic Information Processing; Translation"
"C5-Branched dibasic acid metabolism","Bacillus cereus B4264",1.67,"map00660","Metabolism; Carbohydrate metabolism"
"Streptomycin biosynthesis","Bacillus cereus B4264",1.51,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Vitamin B6 metabolism","Bacillus cereus B4264",1.42,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Pentose and glucuronate interconversions","Bacillus cereus B4264",1.25,"map00040","Metabolism; Carbohydrate metabolism"
"Polyketide sugar unit biosynthesis","Bacillus cereus B4264",1.25,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Retinol metabolism","Bacillus cereus B4264",1.24,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Bacillus cereus B4264",1.24,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Bacillus cereus B4264",1.24,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Lipoic acid metabolism","Bacillus cereus B4264",1.23,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Chloroalkane and chloroalkene degradation","Bacillus cereus B4264",1.22,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Bacillus cereus B4264",1.17,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"alpha-Linolenic acid metabolism","Bacillus cereus B4264",1.04,"map00592","Metabolism; Lipid metabolism"
"Monobactam biosynthesis","Bacillus cereus B4264",1.02,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Inositol phosphate metabolism","Bacillus cereus B4264",1.02,"map00562","Metabolism; Carbohydrate metabolism"
"Steroid hormone biosynthesis","Bacillus cereus B4264",0.99,"map00140","Metabolism; Lipid metabolism"
"Caffeine metabolism","Bacillus cereus B4264",0.99,"map00232","Metabolism; Biosynthesis of other secondary metabolites"
"Linoleic acid metabolism","Bacillus cereus B4264",0.99,"map00591","Metabolism; Lipid metabolism"
"Sphingolipid metabolism","Bacillus cereus B4264",0.99,"map00600","Metabolism; Lipid metabolism"
"Ascorbate and aldarate metabolism","Bacillus cereus B4264",0.97,"map00053","Metabolism; Carbohydrate metabolism"
"Insect hormone biosynthesis","Bacillus cereus B4264",0.97,"map00981","Metabolism; Metabolism of terpenoids and polyketides"
"Isoquinoline alkaloid biosynthesis","Bacillus cereus B4264",0.87,"map00950","Metabolism; Biosynthesis of other secondary metabolites"
"PD-L1 expression and PD-1 checkpoint pathway in cancer","Bacillus cereus B4264",0.85,"map05235","Human Diseases; Cancer: overview"
"Fatty acid elongation","Bacillus cereus B4264",0.8,"map00062","Metabolism; Lipid metabolism"
"Caprolactam degradation","Bacillus cereus B4264",0.8,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Dioxin degradation","Bacillus cereus B4264",0.76,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Bacillus cereus B4264",0.76,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Phenazine biosynthesis","Bacillus cereus B4264",0.67,"map00405","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of various secondary metabolites - part 3","Bacillus cereus B4264",0.57,"map00997","Metabolism; Biosynthesis of other secondary metabolites"
"Aflatoxin biosynthesis","Bacillus cereus B4264",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Carbapenem biosynthesis","Bacillus cereus B4264",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of ansamycins","Bacillus cereus B4264",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Neomycin; kanamycin and gentamicin biosynthesis","Bacillus cereus B4264",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Naphthalene degradation","Bacillus cereus B4264",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Acarbose and validamycin biosynthesis","Bacillus cereus B4264",0.21,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Biosynthesis of vancomycin group antibiotics","Bacillus cereus B4264",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Glucosinolate biosynthesis","Bacillus cereus B4264",0.16,"map00966","Metabolism; Biosynthesis of other secondary metabolites"
"Zeatin biosynthesis","Bacillus cereus B4264",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Bacillus cereus B4264",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Bacillus clausii UBBC-07",148.79,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Bacillus clausii UBBC-07",65.05,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Bacillus clausii UBBC-07",44.08,"map01120","Microbial metabolism in diverse environments"
"Purine metabolism","Bacillus clausii UBBC-07",11.86,"map00230","Metabolism; Nucleotide metabolism"
"Glycine; serine and threonine metabolism","Bacillus clausii UBBC-07",10.68,"map00260","Metabolism; Amino acid metabolism"
"Cysteine and methionine metabolism","Bacillus clausii UBBC-07",10.01,"map00270","Metabolism; Amino acid metabolism"
"Glyoxylate and dicarboxylate metabolism","Bacillus clausii UBBC-07",9.02,"map00630","Metabolism; Carbohydrate metabolism"
"Pentose and glucuronate interconversions","Bacillus clausii UBBC-07",7.92,"map00040","Metabolism; Carbohydrate metabolism"
"Pantothenate and CoA biosynthesis","Bacillus clausii UBBC-07",7.74,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation pathways in prokaryotes","Bacillus clausii UBBC-07",7.6,"map00720","Metabolism; Energy metabolism"
"Pyruvate metabolism","Bacillus clausii UBBC-07",7.28,"map00620","Metabolism; Carbohydrate metabolism"
"Tryptophan metabolism","Bacillus clausii UBBC-07",7.16,"map00380","Metabolism; Amino acid metabolism"
"Folate biosynthesis","Bacillus clausii UBBC-07",7.16,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Porphyrin and chlorophyll metabolism","Bacillus clausii UBBC-07",7.03,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Citrate cycle (TCA cycle)","Bacillus clausii UBBC-07",6.85,"map00020","Metabolism; Carbohydrate metabolism"
"Methane metabolism","Bacillus clausii UBBC-07",6.57,"map00680","Metabolism; Energy metabolism"
"Pyrimidine metabolism","Bacillus clausii UBBC-07",6.31,"map00240","Metabolism; Nucleotide metabolism"
"Propanoate metabolism","Bacillus clausii UBBC-07",5.84,"map00640","Metabolism; Carbohydrate metabolism"
"Phenylalanine; tyrosine and tryptophan biosynthesis","Bacillus clausii UBBC-07",5.8,"map00400","Metabolism; Amino acid metabolism"
"Alanine; aspartate and glutamate metabolism","Bacillus clausii UBBC-07",5.66,"map00250","Metabolism; Amino acid metabolism"
"Starch and sucrose metabolism","Bacillus clausii UBBC-07",5.49,"map00500","Metabolism; Carbohydrate metabolism"
"Arginine and proline metabolism","Bacillus clausii UBBC-07",5.47,"map00330","Metabolism; Amino acid metabolism"
"Glycolysis / Gluconeogenesis","Bacillus clausii UBBC-07",5.41,"map00010","Metabolism; Carbohydrate metabolism"
"Histidine metabolism","Bacillus clausii UBBC-07",5.22,"map00340","Metabolism; Amino acid metabolism"
"Riboflavin metabolism","Bacillus clausii UBBC-07",5.22,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Pentose phosphate pathway","Bacillus clausii UBBC-07",5.21,"map00030","Metabolism; Carbohydrate metabolism"
